cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3162500,2,3,1545656,1258,1,5,3,4,1,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333673,1738,2,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1465529,4530,2,8,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,,,,,550130664359233,563253885846914
3162500,2,3,1406770,5878,2,52,1,4,2,1,2,2,4,,,,,,,2,2,,,0,2,,,200,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334158,7961,2,10,3,4,1,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1364571,11736,1,8,3,4,2,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334085,12735,2,48,1,4,1,2,2,1,3,,,,5,8,1,1,,2,1,150,1,10,1500,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1461743,16805,1,25,1,3,1,2,2,1,3,,,,8,3,1,1,,2,1,250,1,10,2500,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333185,18617,2,6,3,2,1,2,2,1,2,1,3,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334086,21253,1,0,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334298,23933,1,6,3,4,1,1,2,1,1,1,5,2,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333716,28288,1,52,6,1,1,2,2,1,3,,,,5,8,1,1,,2,4,2777,1,12,33324,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334122,29155,2,2,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2332991,30136,2,25,1,2,2,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333105,30350,2,36,1,1,1,1,2,1,3,,,,8,2,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1352316,31322,1,33,2,4,1,2,2,1,3,,,,8,3,1,1,,2,4,1085,1,3,3255,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1351465,31899,2,24,5,2,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333916,34559,1,67,2,1,2,1,2,1,3,,,,4,1,2,2,2,,,0,2,,,0,954,0,0,0,550130664359233,563253885846914
3162500,2,3,1364243,38581,2,82,1,4,2,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,788,0,0,0,550130664359233,563253885846914
3162500,2,3,1490343,39062,2,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333851,39617,1,18,1,1,1,2,2,1,1,1,13,,,,,2,2,,,0,2,,,200,0,0,0,400,550130664359233,563253885846914
3162500,2,3,2333638,44518,1,3,3,1,1,1,2,1,1,1,3,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333407,53885,1,78,1,1,2,2,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,954,0,0,0,550130664359233,563253885846914
3162500,2,3,2333604,63305,2,39,1,4,1,1,2,1,3,,,,4,4,1,1,,2,1,500,1,10,5000,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1390334,64205,1,39,1,4,1,1,2,1,3,,,,4,2,2,1,,2,1,1000,1,5,5000,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333654,65356,2,27,1,1,2,2,2,1,3,,,,8,4,1,1,,2,1,500,1,12,6000,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1527072,66233,2,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333252,67021,2,23,8,4,1,1,2,1,3,,,,5,7,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1476420,68971,2,4,3,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1383620,75780,2,45,1,4,1,1,2,1,3,,,,5,5,2,1,,2,1,300,1,12,3600,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334201,76186,1,25,1,4,2,1,2,1,1,1,13,,,,,2,2,,,0,2,,,0,0,0,0,600,550130664359233,563253885846914
